id,value
0,3
1,12
2,20
3,24
4,44
5,45
6,55
7,67
8,68
9,70
10,91
11,103
12,109
13,113
14,120
15,129
16,136
17,144
18,156
19,161
20,176
21,177
22,177
23,178
24,184
25,193
26,194
27,204
28,227
29,244
30,248
31,257
32,266
33,275
34,284
35,305
36,317
37,325
38,355
39,355
40,372
41,384
42,387
43,411
44,418
45,424
46,424
47,435
48,437
49,440
50,443
51,452
52,464
53,471
54,506
55,524
56,552
57,563
58,567
59,584
60,604
61,611
62,630
63,632
64,632
65,641
66,649
67,658
68,670
69,684
70,685
71,685
72,687
73,713
74,715
75,721
76,758
77,765
78,770
79,797
80,811
81,822
82,845
83,851
84,855
85,873
86,884
87,901
88,907
89,912
90,916
91,920
92,933
93,937
94,961
95,972
96,974
97,977
98,980
99,995
